Policy_Number,Policy_Type,Coverage,Exclusions,Duration,Premium,Renewal_Option
POL135F,Travel,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹12,000",Offline Renewal Only
POL445M,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,Annual,"₹30,000",Offline Renewal Only
POL876B,Health,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹10,000",Online Renewal Available
POL229G,Travel,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,20 Years,"₹20,000",Online Renewal Available
POL175Q,Travel,"Covers fire, flood, and natural disasters",War-related damages excluded,20 Years,"₹18,000",Offline Renewal Only
POL215R,Health,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,20 Years,"₹18,000",Offline Renewal Only
POL157I,Property,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,Annual,"₹20,000",Offline Renewal Only
POL571C,Life,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹25,000",Offline Renewal Only
POL533W,Property,"Covers fire, flood, and natural disasters",Suicide not covered for first year,3 Years,"₹25,000",Online Renewal Available
POL270L,Motor,Covers death due to natural or accidental causes,Suicide not covered for first year,20 Years,"₹12,000",Online Renewal Available
POL290X,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹18,000",Online Renewal Available
POL323W,Property,"Covers fire, flood, and natural disasters",Suicide not covered for first year,10 Years,"₹15,000",Offline Renewal Only
POL242O,Health,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,5 Years,"₹20,000",Online Renewal Available
POL448C,Property,Covers emergency medical expenses abroad,War-related damages excluded,20 Years,"₹25,000",Online Renewal Available
POL974R,Travel,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹18,000",Offline Renewal Only
POL551E,Property,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹10,000",Online Renewal Available
POL385F,Health,Covers emergency medical expenses abroad,Suicide not covered for first year,10 Years,"₹12,000",Offline Renewal Only
POL269S,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,20 Years,"₹12,000",Online Renewal Available
POL161B,Health,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹18,000",Online Renewal Available
POL867A,Travel,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,Annual,"₹10,000",Online Renewal Available
POL764G,Property,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹18,000",Online Renewal Available
POL975X,Accident,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹10,000",Online Renewal Available
POL648Y,Travel,Covers accidental damage and theft,Dental and cosmetic procedures excluded,5 Years,"₹10,000",Offline Renewal Only
POL944G,Property,Covers accidental damage and theft,War-related damages excluded,10 Years,"₹12,000",Online Renewal Available
POL645A,Health,Covers accidental damage and theft,Adventure sports injuries excluded,10 Years,"₹10,000",Offline Renewal Only
POL745S,Travel,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,5 Years,"₹15,000",Offline Renewal Only
POL522M,Accident,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,Annual,"₹8,000",Offline Renewal Only
POL298G,Travel,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹15,000",Offline Renewal Only
POL678P,Property,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,5 Years,"₹8,000",Offline Renewal Only
POL504P,Health,Covers accidental damage and theft,Claims under alcohol influence excluded,5 Years,"₹30,000",Online Renewal Available
POL357O,Travel,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,5 Years,"₹18,000",Offline Renewal Only
POL323W,Health,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹15,000",Online Renewal Available
POL897K,Motor,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,3 Years,"₹25,000",Online Renewal Available
POL133M,Life,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹18,000",Offline Renewal Only
POL732B,Life,Covers emergency medical expenses abroad,Adventure sports injuries excluded,Annual,"₹25,000",Online Renewal Available
POL204C,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,Annual,"₹8,000",Online Renewal Available
POL389E,Accident,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹15,000",Offline Renewal Only
POL688E,Health,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹30,000",Online Renewal Available
POL114X,Motor,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹18,000",Offline Renewal Only
POL423Y,Travel,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,20 Years,"₹10,000",Offline Renewal Only
POL957P,Motor,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,3 Years,"₹20,000",Offline Renewal Only
POL990W,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹12,000",Online Renewal Available
POL616Y,Property,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹30,000",Offline Renewal Only
POL213K,Motor,Covers accidental damage and theft,Claims under alcohol influence excluded,20 Years,"₹20,000",Offline Renewal Only
POL487J,Travel,"Covers fire, flood, and natural disasters",Suicide not covered for first year,20 Years,"₹20,000",Offline Renewal Only
POL912P,Health,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,Annual,"₹15,000",Offline Renewal Only
POL883V,Property,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,Annual,"₹20,000",Online Renewal Available
POL701I,Travel,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹25,000",Online Renewal Available
POL719Q,Property,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹20,000",Offline Renewal Only
POL398M,Life,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,20 Years,"₹18,000",Online Renewal Available
POL626I,Travel,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹12,000",Offline Renewal Only
POL288V,Motor,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹30,000",Offline Renewal Only
POL921E,Life,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,5 Years,"₹20,000",Offline Renewal Only
POL435G,Motor,Covers accidental damage and theft,Claims under alcohol influence excluded,5 Years,"₹30,000",Online Renewal Available
POL363R,Motor,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹18,000",Online Renewal Available
POL533L,Life,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,3 Years,"₹10,000",Online Renewal Available
POL440S,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,Annual,"₹15,000",Online Renewal Available
POL216E,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹30,000",Online Renewal Available
POL654P,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹18,000",Offline Renewal Only
POL725N,Health,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹10,000",Online Renewal Available
POL987G,Accident,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,5 Years,"₹12,000",Online Renewal Available
POL244V,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,20 Years,"₹12,000",Online Renewal Available
POL741J,Property,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,10 Years,"₹30,000",Online Renewal Available
POL214V,Health,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,Annual,"₹10,000",Online Renewal Available
POL870R,Accident,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,Annual,"₹20,000",Online Renewal Available
POL714Z,Motor,Covers emergency medical expenses abroad,Adventure sports injuries excluded,3 Years,"₹10,000",Online Renewal Available
POL193M,Accident,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,20 Years,"₹18,000",Offline Renewal Only
POL586J,Travel,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹12,000",Online Renewal Available
POL121H,Life,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,5 Years,"₹8,000",Offline Renewal Only
POL734M,Travel,Covers accidental damage and theft,Dental and cosmetic procedures excluded,10 Years,"₹30,000",Online Renewal Available
POL758F,Accident,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,5 Years,"₹8,000",Online Renewal Available
POL541E,Travel,Covers death due to natural or accidental causes,War-related damages excluded,Annual,"₹10,000",Online Renewal Available
POL537M,Motor,Covers accidental damage and theft,Suicide not covered for first year,3 Years,"₹25,000",Offline Renewal Only
POL511F,Motor,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,5 Years,"₹20,000",Online Renewal Available
POL546Y,Life,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹8,000",Online Renewal Available
POL243Y,Motor,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Online Renewal Available
POL188B,Travel,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹18,000",Online Renewal Available
POL321Y,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹25,000",Online Renewal Available
POL378U,Life,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,10 Years,"₹10,000",Online Renewal Available
POL781R,Health,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹10,000",Online Renewal Available
POL238Y,Motor,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹8,000",Online Renewal Available
POL403Y,Travel,Covers death due to natural or accidental causes,War-related damages excluded,3 Years,"₹10,000",Offline Renewal Only
POL400G,Accident,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,3 Years,"₹15,000",Online Renewal Available
POL787B,Motor,Covers accidental damage and theft,Claims under alcohol influence excluded,3 Years,"₹20,000",Offline Renewal Only
POL200S,Motor,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,Annual,"₹10,000",Offline Renewal Only
POL741J,Health,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹8,000",Online Renewal Available
POL371O,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,3 Years,"₹18,000",Online Renewal Available
POL839J,Property,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹20,000",Offline Renewal Only
POL396H,Life,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹8,000",Online Renewal Available
POL713D,Accident,Covers accidental damage and theft,War-related damages excluded,10 Years,"₹15,000",Online Renewal Available
POL672J,Health,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,3 Years,"₹12,000",Offline Renewal Only
POL770I,Accident,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,Annual,"₹15,000",Online Renewal Available
POL991X,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹10,000",Online Renewal Available
POL263F,Health,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,Annual,"₹20,000",Online Renewal Available
POL360F,Life,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,10 Years,"₹25,000",Online Renewal Available
POL186D,Life,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,Annual,"₹25,000",Online Renewal Available
POL317C,Property,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹20,000",Offline Renewal Only
POL980I,Health,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,20 Years,"₹10,000",Offline Renewal Only
POL848H,Health,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Online Renewal Available
POL505L,Property,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,20 Years,"₹12,000",Online Renewal Available
POL649E,Life,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,3 Years,"₹10,000",Online Renewal Available
POL336W,Property,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹25,000",Online Renewal Available
POL930O,Motor,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,3 Years,"₹30,000",Online Renewal Available
POL239T,Life,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,20 Years,"₹18,000",Offline Renewal Only
POL605I,Health,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹30,000",Online Renewal Available
POL917M,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹30,000",Online Renewal Available
POL808U,Life,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,10 Years,"₹18,000",Online Renewal Available
POL404X,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,Annual,"₹12,000",Offline Renewal Only
POL592A,Accident,"Covers fire, flood, and natural disasters",Suicide not covered for first year,3 Years,"₹25,000",Offline Renewal Only
POL239A,Travel,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,20 Years,"₹20,000",Online Renewal Available
POL601T,Health,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹30,000",Online Renewal Available
POL962T,Property,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹30,000",Online Renewal Available
POL769X,Health,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Online Renewal Available
POL412K,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,5 Years,"₹8,000",Offline Renewal Only
POL876V,Life,Covers death due to natural or accidental causes,Adventure sports injuries excluded,Annual,"₹12,000",Offline Renewal Only
POL798B,Travel,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,10 Years,"₹10,000",Offline Renewal Only
POL988D,Health,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,20 Years,"₹25,000",Offline Renewal Only
POL604Q,Motor,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹12,000",Offline Renewal Only
POL562F,Property,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,3 Years,"₹25,000",Online Renewal Available
POL449P,Motor,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹15,000",Online Renewal Available
POL241O,Property,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,20 Years,"₹8,000",Offline Renewal Only
POL911T,Property,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹8,000",Online Renewal Available
POL109B,Property,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Offline Renewal Only
POL703T,Motor,Covers emergency medical expenses abroad,Suicide not covered for first year,3 Years,"₹12,000",Offline Renewal Only
POL536T,Accident,Covers emergency medical expenses abroad,Adventure sports injuries excluded,10 Years,"₹18,000",Offline Renewal Only
POL480W,Motor,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,Annual,"₹20,000",Online Renewal Available
POL539G,Life,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,10 Years,"₹18,000",Online Renewal Available
POL172M,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹25,000",Online Renewal Available
POL413U,Travel,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹20,000",Online Renewal Available
POL587B,Health,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,3 Years,"₹25,000",Online Renewal Available
POL320Y,Health,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,5 Years,"₹15,000",Offline Renewal Only
POL529D,Travel,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,20 Years,"₹8,000",Online Renewal Available
POL794I,Accident,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,10 Years,"₹12,000",Offline Renewal Only
POL313K,Property,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,3 Years,"₹20,000",Offline Renewal Only
POL509S,Health,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,3 Years,"₹20,000",Offline Renewal Only
POL657J,Travel,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,5 Years,"₹10,000",Offline Renewal Only
POL196J,Life,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,20 Years,"₹12,000",Online Renewal Available
POL912D,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹15,000",Offline Renewal Only
POL605E,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,10 Years,"₹30,000",Offline Renewal Only
POL874S,Health,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹18,000",Offline Renewal Only
POL932H,Travel,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,20 Years,"₹30,000",Offline Renewal Only
POL755V,Travel,Covers emergency medical expenses abroad,Adventure sports injuries excluded,3 Years,"₹25,000",Online Renewal Available
POL613J,Accident,"Covers fire, flood, and natural disasters",Suicide not covered for first year,20 Years,"₹25,000",Offline Renewal Only
POL410B,Accident,Covers accidental damage and theft,Claims under alcohol influence excluded,20 Years,"₹25,000",Online Renewal Available
POL255T,Life,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,Annual,"₹25,000",Online Renewal Available
POL595R,Life,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹30,000",Online Renewal Available
POL615L,Travel,Covers accidental damage and theft,Adventure sports injuries excluded,Annual,"₹18,000",Online Renewal Available
POL208K,Life,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,20 Years,"₹15,000",Offline Renewal Only
POL800P,Motor,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,3 Years,"₹15,000",Offline Renewal Only
POL589B,Travel,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,10 Years,"₹8,000",Offline Renewal Only
POL305B,Life,"Covers fire, flood, and natural disasters",War-related damages excluded,20 Years,"₹25,000",Online Renewal Available
POL214Q,Accident,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,3 Years,"₹18,000",Online Renewal Available
POL153S,Life,Covers accidental damage and theft,Dental and cosmetic procedures excluded,Annual,"₹8,000",Offline Renewal Only
POL740N,Motor,Covers emergency medical expenses abroad,Suicide not covered for first year,Annual,"₹25,000",Offline Renewal Only
POL612K,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,10 Years,"₹15,000",Online Renewal Available
POL707N,Travel,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,3 Years,"₹20,000",Offline Renewal Only
POL674J,Motor,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,Annual,"₹18,000",Offline Renewal Only
POL533P,Travel,Covers personal accident injuries and liabilities,War-related damages excluded,3 Years,"₹15,000",Offline Renewal Only
POL849O,Motor,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,Annual,"₹25,000",Offline Renewal Only
POL376W,Motor,Covers accidental damage and theft,Dental and cosmetic procedures excluded,10 Years,"₹15,000",Offline Renewal Only
POL284Z,Travel,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,Annual,"₹15,000",Offline Renewal Only
POL817W,Property,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹15,000",Offline Renewal Only
POL144S,Life,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹30,000",Online Renewal Available
POL241U,Accident,Covers accidental damage and theft,Suicide not covered for first year,5 Years,"₹20,000",Offline Renewal Only
POL915Q,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹20,000",Online Renewal Available
POL563D,Health,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,10 Years,"₹20,000",Offline Renewal Only
POL846X,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹18,000",Online Renewal Available
POL260R,Motor,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,20 Years,"₹30,000",Offline Renewal Only
POL538X,Travel,Covers personal accident injuries and liabilities,War-related damages excluded,3 Years,"₹30,000",Online Renewal Available
POL535K,Life,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,3 Years,"₹12,000",Online Renewal Available
POL728O,Property,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,10 Years,"₹20,000",Online Renewal Available
POL323F,Life,Covers emergency medical expenses abroad,War-related damages excluded,20 Years,"₹20,000",Online Renewal Available
POL626E,Motor,Covers accidental damage and theft,Adventure sports injuries excluded,20 Years,"₹18,000",Offline Renewal Only
POL180P,Health,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹18,000",Offline Renewal Only
POL359Z,Life,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,Annual,"₹20,000",Online Renewal Available
POL488L,Life,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,5 Years,"₹12,000",Offline Renewal Only
POL155A,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹20,000",Offline Renewal Only
POL756P,Accident,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹30,000",Online Renewal Available
POL756R,Motor,Covers accidental damage and theft,Adventure sports injuries excluded,5 Years,"₹20,000",Offline Renewal Only
POL524W,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹18,000",Online Renewal Available
POL796W,Life,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,Annual,"₹15,000",Online Renewal Available
POL173I,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹18,000",Offline Renewal Only
POL363B,Motor,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,3 Years,"₹15,000",Offline Renewal Only
POL149P,Property,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹30,000",Offline Renewal Only
POL912I,Motor,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,10 Years,"₹18,000",Offline Renewal Only
POL694G,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹10,000",Offline Renewal Only
POL801V,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,20 Years,"₹12,000",Online Renewal Available
POL381S,Life,"Covers fire, flood, and natural disasters",War-related damages excluded,Annual,"₹25,000",Offline Renewal Only
POL779A,Motor,Covers accidental damage and theft,Suicide not covered for first year,3 Years,"₹15,000",Offline Renewal Only
POL545U,Life,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,5 Years,"₹8,000",Online Renewal Available
POL846J,Motor,"Covers fire, flood, and natural disasters",War-related damages excluded,10 Years,"₹30,000",Offline Renewal Only
POL285D,Motor,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,3 Years,"₹20,000",Offline Renewal Only
POL255K,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹10,000",Online Renewal Available
POL202G,Life,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹10,000",Online Renewal Available
POL796U,Motor,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹20,000",Offline Renewal Only
POL575J,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,20 Years,"₹30,000",Online Renewal Available
POL746N,Health,Covers personal accident injuries and liabilities,Suicide not covered for first year,20 Years,"₹8,000",Online Renewal Available
POL891S,Motor,"Covers fire, flood, and natural disasters",Suicide not covered for first year,3 Years,"₹10,000",Offline Renewal Only
POL558I,Health,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,5 Years,"₹18,000",Online Renewal Available
POL522H,Life,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹18,000",Offline Renewal Only
POL398J,Motor,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹18,000",Online Renewal Available
POL779E,Accident,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,5 Years,"₹15,000",Online Renewal Available
POL149V,Property,Covers accidental damage and theft,Suicide not covered for first year,10 Years,"₹12,000",Online Renewal Available
POL454L,Health,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹18,000",Offline Renewal Only
POL738O,Property,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,20 Years,"₹25,000",Offline Renewal Only
POL857G,Motor,Covers emergency medical expenses abroad,Adventure sports injuries excluded,5 Years,"₹12,000",Online Renewal Available
POL474G,Motor,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,Annual,"₹8,000",Online Renewal Available
POL973K,Property,Covers death due to natural or accidental causes,War-related damages excluded,3 Years,"₹30,000",Offline Renewal Only
POL228K,Accident,Covers accidental damage and theft,Dental and cosmetic procedures excluded,3 Years,"₹15,000",Offline Renewal Only
POL911I,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,5 Years,"₹30,000",Offline Renewal Only
POL927V,Health,Covers personal accident injuries and liabilities,Suicide not covered for first year,20 Years,"₹15,000",Online Renewal Available
POL177F,Life,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,3 Years,"₹8,000",Offline Renewal Only
POL968C,Property,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,Annual,"₹20,000",Online Renewal Available
POL541M,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,5 Years,"₹30,000",Online Renewal Available
POL844G,Property,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,3 Years,"₹15,000",Offline Renewal Only
POL479U,Property,"Covers fire, flood, and natural disasters",War-related damages excluded,5 Years,"₹10,000",Offline Renewal Only
POL619L,Life,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹15,000",Offline Renewal Only
POL464N,Accident,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,5 Years,"₹15,000",Online Renewal Available
POL744N,Motor,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,3 Years,"₹8,000",Offline Renewal Only
POL980A,Health,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹18,000",Online Renewal Available
POL456R,Travel,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,3 Years,"₹10,000",Online Renewal Available
POL723Z,Motor,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹30,000",Online Renewal Available
POL907E,Health,Covers accidental damage and theft,Suicide not covered for first year,5 Years,"₹12,000",Offline Renewal Only
POL341R,Life,Covers accidental damage and theft,War-related damages excluded,10 Years,"₹15,000",Offline Renewal Only
POL310S,Accident,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,5 Years,"₹12,000",Online Renewal Available
POL699N,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹15,000",Offline Renewal Only
POL995G,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,Annual,"₹15,000",Online Renewal Available
POL207M,Health,Covers emergency medical expenses abroad,Adventure sports injuries excluded,20 Years,"₹15,000",Offline Renewal Only
POL717Q,Motor,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,20 Years,"₹30,000",Offline Renewal Only
POL866U,Life,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹18,000",Offline Renewal Only
POL361Y,Health,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,20 Years,"₹12,000",Offline Renewal Only
POL952H,Life,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,5 Years,"₹8,000",Offline Renewal Only
POL765B,Health,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,20 Years,"₹8,000",Offline Renewal Only
POL736N,Property,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,5 Years,"₹20,000",Offline Renewal Only
POL395S,Travel,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,20 Years,"₹25,000",Online Renewal Available
